Date : 2022-10-01 22:05:42
Directory : c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE
Total : 194 files,  1374 codes, 257 comments, 380 blanks, all 2011 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        194 |      1,374 |        257 |        380 |      2,011 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        194 |      1,374 |        257 |        380 |      2,011 |
| DAY_1                                                                                                                                     |          5 |        -69 |        -70 |        -28 |       -167 |
| DAY_10                                                                                                                                    |          4 |       -147 |          0 |        -32 |       -179 |
| DAY_11                                                                                                                                    |          5 |       -113 |        -16 |        -43 |       -172 |
| DAY_12                                                                                                                                    |          7 |       -171 |         -2 |        -66 |       -239 |
| DAY_13                                                                                                                                    |          1 |        -38 |          0 |         -9 |        -47 |
| DAY_14                                                                                                                                    |          2 |        -72 |        -10 |        -17 |        -99 |
| DAY_15                                                                                                                                    |          4 |        -74 |        -70 |        -44 |       -188 |
| DAY_16                                                                                                                                    |          2 |        -29 |        -36 |         -9 |        -74 |
| DAY_17                                                                                                                                    |          7 |       -157 |         -4 |        -41 |       -202 |
| DAY_2                                                                                                                                     |          3 |       -108 |        -22 |        -39 |       -169 |
| DAY_3                                                                                                                                     |          7 |       -140 |         -2 |        -42 |       -184 |
| DAY_4                                                                                                                                     |          5 |       -109 |         -2 |        -29 |       -140 |
| DAY_5                                                                                                                                     |          5 |        -88 |          0 |        -20 |       -108 |
| DAY_6                                                                                                                                     |          5 |       -101 |          0 |        -21 |       -122 |
| DAY_7                                                                                                                                     |          3 |        -74 |         -2 |         -9 |        -85 |
| DAY_8                                                                                                                                     |          3 |        -81 |         -2 |        -13 |        -96 |
| DAY_9                                                                                                                                     |          1 |        -52 |        -15 |        -11 |        -78 |
| MONTH_1                                                                                                                                   |        116 |      2,804 |        487 |        813 |      4,104 |
| MONTH_1\DAY_1                                                                                                                             |          5 |         69 |         70 |         28 |        167 |
| MONTH_1\DAY_10                                                                                                                            |          4 |        147 |          0 |         32 |        179 |
| MONTH_1\DAY_11                                                                                                                            |          5 |        113 |         16 |         43 |        172 |
| MONTH_1\DAY_12                                                                                                                            |          7 |        171 |          2 |         66 |        239 |
| MONTH_1\DAY_13                                                                                                                            |          1 |         38 |          0 |          9 |         47 |
| MONTH_1\DAY_14                                                                                                                            |          2 |         72 |         10 |         17 |         99 |
| MONTH_1\DAY_15                                                                                                                            |          4 |         74 |         70 |         44 |        188 |
| MONTH_1\DAY_16                                                                                                                            |          2 |         29 |         36 |          9 |         74 |
| MONTH_1\DAY_17                                                                                                                            |          9 |        310 |         32 |         68 |        410 |
| MONTH_1\DAY_18                                                                                                                            |          4 |        111 |          0 |         36 |        147 |
| MONTH_1\DAY_19                                                                                                                            |          5 |        119 |         28 |         36 |        183 |
| MONTH_1\DAY_2                                                                                                                             |          3 |        108 |         22 |         39 |        169 |
| MONTH_1\DAY_20                                                                                                                            |          2 |         58 |          0 |          7 |         65 |
| MONTH_1\DAY_21                                                                                                                            |          2 |         52 |          0 |         13 |         65 |
| MONTH_1\DAY_22                                                                                                                            |          2 |         39 |          0 |          8 |         47 |
| MONTH_1\DAY_23                                                                                                                            |          5 |        110 |          0 |         21 |        131 |
| MONTH_1\DAY_24                                                                                                                            |          2 |         36 |          0 |         12 |         48 |
| MONTH_1\DAY_25                                                                                                                            |          2 |         41 |          1 |          9 |         51 |
| MONTH_1\DAY_26                                                                                                                            |          3 |         65 |         40 |         19 |        124 |
| MONTH_1\DAY_27                                                                                                                            |          6 |         97 |         47 |         32 |        176 |
| MONTH_1\DAY_28                                                                                                                            |          5 |        112 |         36 |         49 |        197 |
| MONTH_1\DAY_29                                                                                                                            |          6 |        157 |         54 |         62 |        273 |
